Column,Year,Age,Sex,Participant,Casualty,Total
316,2006,06 - 09 years,Male,Other road users,Injured,1
317,2006,06 - 09 years,Male,Other road users,Killed,0
318,2006,06 - 09 years,Male,Motor cyclists,Injured,0
319,2006,06 - 09 years,Male,Motor cyclists,Killed,0
320,2006,06 - 09 years,Male,Car passengers,Injured,33
321,2006,06 - 09 years,Male,Car passengers,Killed,1
322,2006,06 - 09 years,Male,Car drivers,Injured,0
323,2006,06 - 09 years,Male,Car drivers,Killed,0
324,2006,06 - 09 years,Female,Pedestrians,Injured,27
325,2006,06 - 09 years,Female,Pedestrians,Killed,0
326,2006,06 - 09 years,Female,Pedal cyclists,Injured,2
327,2006,06 - 09 years,Female,Pedal cyclists,Killed,0
328,2006,06 - 09 years,Female,Other road users,Injured,7
329,2006,06 - 09 years,Female,Other road users,Killed,0
330,2006,06 - 09 years,Female,Motor cyclists,Injured,0
331,2006,06 - 09 years,Female,Motor cyclists,Killed,0
332,2006,06 - 09 years,Female,Car passengers,Injured,41
333,2006,06 - 09 years,Female,Car passengers,Killed,1
334,2006,06 - 09 years,Female,Car drivers,Injured,0
335,2006,06 - 09 years,Female,Car drivers,Killed,0
336,2006,10 - 14 years,Male,Pedestrians,Injured,44
337,2006,10 - 14 years,Male,Pedestrians,Killed,0
338,2006,10 - 14 years,Male,Pedal cyclists,Injured,18
339,2006,10 - 14 years,Male,Pedal cyclists,Killed,0
340,2006,10 - 14 years,Male,Other road users,Injured,10
341,2006,10 - 14 years,Male,Other road users,Killed,0
342,2006,10 - 14 years,Male,Motor cyclists,Injured,3
343,2006,10 - 14 years,Male,Motor cyclists,Killed,0
344,2006,10 - 14 years,Male,Car passengers,Injured,45
345,2006,10 - 14 years,Male,Car passengers,Killed,1
346,2006,10 - 14 years,Male,Car drivers,Injured,0
347,2006,10 - 14 years,Male,Car drivers,Killed,0
348,2006,10 - 14 years,Female,Pedestrians,Injured,34
349,2006,10 - 14 years,Female,Pedestrians,Killed,1
350,2006,10 - 14 years,Female,Pedal cyclists,Injured,2
351,2006,10 - 14 years,Female,Pedal cyclists,Killed,0
352,2006,10 - 14 years,Female,Other road users,Injured,9
353,2006,10 - 14 years,Female,Other road users,Killed,1
354,2006,10 - 14 years,Female,Motor cyclists,Injured,0
355,2006,10 - 14 years,Female,Motor cyclists,Killed,0
356,2006,10 - 14 years,Female,Car passengers,Injured,55
357,2006,10 - 14 years,Female,Car passengers,Killed,0
358,2006,10 - 14 years,Female,Car drivers,Injured,1
359,2006,10 - 14 years,Female,Car drivers,Killed,0
360,2006,15 - 17 years,Male,Pedestrians,Injured,27
361,2006,15 - 17 years,Male,Pedestrians,Killed,1
